,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8518518518518519,0.898611111111111,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7127180599416806
Decision Tree,0.7962962962962963,0.8,0.7407407407407407,0.8333333333333334,0.7843137254901961,0.5962847939999439
KNN,0.7962962962962963,0.875,0.7241379310344828,0.875,0.7924528301886793,0.6062320029323018
Naive Bayes,0.8518518518518519,0.8930555555555555,0.8076923076923077,0.875,0.84,0.7044306406400331
Random Forest,0.8148148148148148,0.8673611111111111,0.7692307692307693,0.8333333333333334,0.8,0.6298438669252061
XGBoost,0.8148148148148148,0.8819444444444445,0.7692307692307693,0.8333333333333334,0.8,0.6298438669252061
